name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Farming Simulator 19,game,0.0,False,58032,27.95,73.0,Giants Software,Giants Software,64633,3948,Simulation,4802
Neon Abyss,game,0.0,False,17421,28.95,0.0,Veewo Games,Team17/ Yooreka Studio (China),18227,2616,Action/ Adventure/ Indie/ RPG,361
LET IT DIE,game,15.0,True,0,0.0,0.0,GRASSHOPPER MANUFACTURE INC./ SUPERTRICK GAMES/ Inc.,GungHo Online Entertainment America/ Inc.,3833,1359,Action/ Free to Play,125
Radical Heights,game,0.0,False,0,0.0,0.0,Boss Key Productions,Boss Key Productions,6111,3837,Action/ Adventure/ Free to Play/ Indie/ Massively Multiplayer/ Early Access,0
Supraland,game,0.0,False,8434,28.95,85.0,Supra Games,Supra Games,10282,501,Action/ Adventure/ Indie/ RPG,87
Age of Empires II: Definitive Edition,game,0.0,False,112691,22.95,84.0,Forgotten Empires/ Tantalus Media/ Wicked Witch/ World's Edge,Xbox Game Studios,120155,6628,Strategy,18511
Green Hell,game,0.0,False,43521,21.57,78.0,Creepy Jar,Creepy Jar,51090,7756,Action/ Adventure/ Indie/ Simulation,2822
JUMP FORCE,game,0.0,False,16835,0.0,60.0,Spike Chunsoft Co./ Ltd.,BANDAI NAMCO Entertainment,16580,5922,Action,57
Totally Accurate Battlegrounds,game,0.0,True,15683,0.0,0.0,Landfall,Landfall,70357,9392,Action/ Free to Play/ Indie,20
BONEWORKS,game,0.0,False,31769,43.95,72.0,Stress Level Zero,Stress Level Zero,31114,2637,Action/ Adventure/ Indie/ Simulation,125
ATLAS,game,0.0,False,36067,42.95,0.0,Grapeshot Games/ Instinct Games,Grapeshot Games,19849,21819,Action/ Adventure/ Massively Multiplayer/ RPG/ Early Access,1306
太吾绘卷 The Scroll Of Taiwu,game,0.0,False,45958,28.95,0.0,ConchShip Games,ConchShip Games,39468,17347,Adventure/ Casual/ Indie/ RPG/ Strategy/ Early Access,1246
NBA 2K19,game,0.0,False,15659,0.0,76.0,Visual Concepts,2K,8931,13916,Simulation/ Sports,292
Super Animal Royale,game,0.0,True,6448,0.0,0.0,Pixile,Modus Games,34553,2233,Action/ Adventure/ Casual/ Free to Play/ Indie/ Massively Multiplayer,1076
KurtzPel,game,0.0,True,0,0.0,0.0,KOG,KOG,21468,13330,Action/ Free to Play/ Early Access,97
The Awesome Adventures of Captain Spirit,game,0.0,True,0,0.0,79.0,DONTNOD Entertainment,Square Enix,12088,956,Adventure/ Free to Play,20
Subnautica: Below Zero,game,0.0,False,73030,44.99,0.0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,72295,7022,Adventure/ Indie,2003
DRAGON BALL Z: KAKAROT,game,0.0,False,32185,22.48,73.0,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment Inc.,39503,2890,Action/ RPG,1084
Tribes of Midgard,game,0.0,False,13930,29.95,0.0,Norsfell,Gearbox Publishing,14206,4402,Action/ Adventure/ Indie/ RPG,667
Control Ultimate Edition,game,15.0,False,28911,59.95,85.0,Remedy Entertainment,505 Games,33562,4672,Action/ Adventure,540
Ultimate Custom Night,game,0.0,True,0,0.0,0.0,Scott Cawthon,Scott Cawthon,46753,2229,Action/ Free to Play/ Indie,716
Football Manager 2019,game,0.0,False,7373,0.0,86.0,Sports Interactive,SEGA,10794,1659,Simulation/ Sports,1534
Pummel Party,game,0.0,False,35896,19.95,0.0,Rebuilt Games,Rebuilt Games,40096,4956,Action/ Casual/ Indie,1901
Noita,game,0.0,False,50772,28.95,0.0,Nolla Games,Nolla Games,52659,2592,Action/ Adventure/ Indie/ RPG/ Simulation,2502
Resident Evil 2,game,18.0,False,92207,13.73,89.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,133195,3862,Action,1554
CRSED: F.O.A.D.,game,0.0,True,0,0.0,0.0,Darkflow Software,Gaijin Distribution KFT,29934,7809,Action/ Free to Play/ Massively Multiplayer,188
Valheim,game,0.0,False,353377,28.95,0.0,Iron Gate AB,Coffee Stain Publishing,390383,21007,Action/ Adventure/ Indie/ RPG/ Early Access,24476
Creative Destruction,game,0.0,False,702,0.0,0.0,NetEase Games,NetEase Games,14772,4095,Action/ Adventure/ Casual/ Massively Multiplayer,3
Last Epoch,game,0.0,False,19325,50.95,0.0,Eleventh Hour Games,Eleventh Hour Games,17911,3490,Action/ Adventure/ Indie/ RPG/ Early Access,978
Grand Theft Auto IV: Complete Edition,game,0.0,False,111213,0.0,90.0,Rockstar North/ Rockstar Toronto,Rockstar Games,104006,26205,Action/ Adventure,0
Century: Age of Ashes,game,0.0,True,1256,0.0,0.0,Playwing LTD,Playwing LTD,11822,4007,Action/ Free to Play/ Indie,173
Modern Combat 5,game,0.0,True,0,0.0,0.0,Gameloft,Gameloft,3085,2588,Action/ Free to Play/ Massively Multiplayer,75
音灵 INVAXION,game,0.0,False,5546,0.0,0.0,Nanjing AQUATRAX,bilibili,3358,2866,Casual/ Indie/ Racing,0
Back 4 Blood,game,18.0,False,36112,89.95,77.0,Turtle Rock Studios,Warner Bros. Games,31451,16452,Action,2046
Unheard - Voices of Crime,game,0.0,False,25620,14.5,72.0,NEXT Studios,NEXT Studios/ 505 Games,26753,970,Indie/ RPG/ Simulation,184
Among Us,game,0.0,False,585674,5.24,85.0,Innersloth,Innersloth,610775,54647,Casual,8154
Resident Evil 3,game,15.0,False,48088,15.8,77.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,58039,14444,Action,597
Bright Memory,game,0.0,False,29091,11.5,0.0,FYQD-Studio,FYQD-Studio/ PLAYISM,29192,2748,Action/ Adventure/ Indie,10
Bloons TD 6,game,0.0,False,233766,19.95,0.0,Ninja Kiwi,Ninja Kiwi,258528,6766,Strategy,14590
Grounded,game,0.0,False,46286,49.95,83.0,Obsidian Entertainment,Xbox Game Studios,53950,7089,Action/ Adventure,5695
Pacify,game,0.0,False,28579,7.5,0.0,Shawn Hitchcock,Hitchcock Games,32831,4786,Action/ Adventure/ Casual/ Indie/ Strategy,278
Mortal Kombat 11,game,18.0,False,60851,49.99,82.0,NetherRealm Studios/ QLOC/ Shiver,Warner Bros. Games/ Warner Bros. Interactive Entertainment,71096,10215,Action,4153
Halo: The Master Chief Collection,game,14.0,False,191165,129.0,0.0,343 Industries/ Splash Damage/ Ruffian Games/ Bungie/ Saber Interactive,Xbox Game Studios,194338,15659,Action,6683
A Dance of Fire and Ice,game,0.0,False,51480,8.5,0.0,7th Beat Games,7th Beat Games/ indienova,51833,3332,Indie,2363
The Ascent,game,15.0,False,15349,44.95,0.0,Neon Giant,Curve Games,14156,4786,Action/ Adventure/ Indie/ RPG,344
Hogwarts Legacy,game,0.0,False,153099,89.95,83.0,Avalanche Software,Warner Bros. Games,194248,17247,Action/ Adventure/ RPG,12939
嗜血印 Bloody Spell,game,0.0,False,26667,35.95,0.0,艺龙游戏,艺龙游戏,27045,3339,Action/ Adventure/ Indie/ RPG,225
eFootball  PES 2020,game,0.0,False,8352,0.0,0.0,Konami Digital Entertainment,Konami Digital Entertainment,18634,7652,Sports,451
Sniper Elite 5,game,0.0,False,9645,23.78,79.0,Rebellion,Rebellion,9757,2482,Action/ Adventure,2524
Mafia II: Definitive Edition,game,0.0,False,13164,39.98,0.0,Hangar 13/ D3T,2K,13666,5751,Action/ Adventure,669
Mafia: Definitive Edition,game,15.0,False,44863,39.98,0.0,Hangar 13,2K,50833,7633,Action/ Adventure,1141
Dota Underlords,game,0.0,True,0,0.0,0.0,Valve,Valve,74207,15910,Casual/ Free to Play/ Strategy,2005
Superliminal,game,0.0,False,19556,28.95,0.0,Pillow Castle,Pillow Castle,22010,1237,Action/ Adventure,90
Wolfenstein: Youngblood,game,0.0,False,9674,24.95,69.0,Machine Games/ Arkane Studios,Bethesda Softworks,5452,6633,Action,99
Ori and the Will of the Wisps,game,0.0,False,106234,39.95,88.0,Moon Studios GmbH,Xbox Game Studios,110817,3958,Action,1623
Crucible Beta,game,0.0,False,0,0.0,56.0,Relentless Studios,Amazon Games,4698,6226,Action/ Free to Play,0
New World,game,0.0,False,221012,58.5,70.0,Amazon Games,Amazon Games,181111,76993,Action/ Adventure/ Massively Multiplayer/ RPG,19460
Destiny 2,game,0.0,True,121382,0.0,83.0,Bungie,Bungie,456218,98833,Action/ Adventure/ Free to Play,51592
Baldur's Gate 3,game,18.0,False,62394,59.99,0.0,Larian Studios,Larian Studios,60173,7432,Adventure/ RPG/ Strategy/ Early Access,19743
Scribble It!,game,0.0,True,0,0.0,0.0,Detach Entertainment,Detach Entertainment,5919,967,Casual/ Free to Play/ Indie,144
ONE PIECE: PIRATE WARRIORS 4,game,0.0,False,11056,74.95,0.0,Koei Tecmo,BANDAI NAMCO Entertainment,12815,1108,Action,1861
NBA 2K20,game,0.0,False,46882,0.0,74.0,Visual Concepts,2K,30460,30433,Simulation/ Sports,698
The Henry Stickmin Collection,game,0.0,False,36255,10.75,0.0,PuffballsUnited,Innersloth,38216,519,Adventure/ Casual/ Indie,244
Inscryption,game,0.0,False,87141,28.95,0.0,Daniel Mullins Games,Devolver Digital,91208,2790,Adventure/ Indie/ Strategy,1257
Solasta: Crown of the Magister,game,0.0,False,15375,43.95,0.0,Tactical Adventures,Tactical Adventures,15220,2151,Adventure/ RPG/ Strategy,2304
Football Manager 2020,game,0.0,False,17094,0.0,84.0,Sports Interactive,SEGA,28309,3427,Simulation/ Sports,2618
Persona 4 Golden,game,0.0,False,55297,29.95,87.0,ATLUS,SEGA,61638,1841,RPG,1227
People Playground,game,0.0,False,187088,14.5,0.0,mestiez,Studio Minus,195982,2476,Action/ Casual/ Indie/ Simulation,9985
RISK: Global Domination,game,0.0,True,108,0.0,0.0,SMG Studio,SMG Studio,26055,5750,Casual/ Free to Play/ Strategy,2743
Medieval Dynasty,game,0.0,False,26126,49.95,73.0,Render Cube,Toplitz Productions,28444,2915,Action/ Adventure/ RPG/ Simulation,4376
Ghostrunner,game,15.0,False,38330,44.95,81.0,One More Level/ 3D Realms/ Slipgate Ironworks™/ All in! Games,505 Games,47936,4414,Action,672
Total War: WARHAMMER III,game,0.0,False,52525,89.95,85.0,CREATIVE ASSEMBLY/ Feral Interactive,SEGA/ Feral Interactive,54578,18460,Action/ Strategy,24255
Ready or Not,game,0.0,False,91864,54.95,0.0,VOID Interactive,VOID Interactive,103180,10072,Action/ Adventure/ Indie/ Early Access,5349
Hades,game,0.0,False,212348,36.5,93.0,Supergiant Games,Supergiant Games,226675,3448,Action/ Indie/ RPG,4468
Not For Broadcast,game,0.0,False,7867,36.5,82.0,NotGames,tinyBuild,9004,515,Adventure/ Indie/ Simulation,42
Skul: The Hero Slayer,game,0.0,False,38186,28.95,80.0,SOUTHPAW GAMES,NEOWIZ,40520,3005,Action/ Indie,1515
OMORI,game,0.0,False,52611,19.99,87.0,OMOCAT/ LLC,OMOCAT/ LLC,57065,1298,Adventure/ Indie/ RPG,897
Fallout 76,game,15.0,False,45285,54.95,0.0,Bethesda Game Studios,Bethesda Softworks,63234,24110,RPG,9770
Crusader Kings III,game,0.0,False,61458,69.95,91.0,Paradox Development Studio,Paradox Interactive,86493,7487,RPG/ Simulation/ Strategy,17962
Teardown,game,0.0,False,69483,44.95,80.0,Tuxedo Labs,Tuxedo Labs,71035,2697,Action/ Indie/ Simulation/ Strategy,2879
Sea of Thieves 2023 Edition,game,0.0,False,250073,49.45,0.0,Rare Ltd,Xbox Game Studios,261815,28561,Action/ Adventure,17285
Resident Evil 3: Raccoon City Demo,game,15.0,True,0,0.0,0.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,9042,1062,Action,18
Red Dead Redemption 2,game,0.0,False,394223,98.96,93.0,Rockstar Games,Rockstar Games,389044,41124,Action/ Adventure,40453
Bright Memory: Infinite,game,0.0,False,31611,28.95,0.0,FYQD-Studio,FYQD-Studio/ PLAYISM,32256,2617,Action/ Indie,65
Stay Out,game,0.0,True,0,0.0,0.0,MOBITECH LLC,MOBITECH LLC,9883,7279,Action/ Free to Play/ Indie/ Massively Multiplayer/ RPG/ Early Access,1376
